,State.Code,State.Name,Tier 1 Code,Tier 1 Description,Pollutant,year,Sum
195,17,IL,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,21.62939
196,17,IL,5,METALS PROCESSING,CO,1996,70.53979
197,17,IL,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,1.68438
198,17,IL,7,OTHER INDUSTRIAL PROCESSES,CO,1996,1.79168
199,17,IL,8,SOLVENT UTILIZATION,CO,1996,0.36327
200,17,IL,9,STORAGE & TRANSPORT,CO,1996,0.05703
201,17,IL,10,WASTE DISPOSAL & RECYCLING,CO,1996,54.42919
202,17,IL,11,HIGHWAY VEHICLES,CO,1996,3011.91606
203,17,IL,12,OFF-HIGHWAY,CO,1996,1020.20807
204,17,IL,14,MISCELLANEOUS,CO,1996,6.68128
205,17,IL,15,WILDFIRES,CO,1996,NA
206,17,IL,16,PRESCRIBED FIRES,CO,1996,NA
207,18,IN,1,FUEL COMB. ELEC. UTIL.,CO,1996,14.00579
208,18,IN,2,FUEL COMB. INDUSTRIAL,CO,1996,22.34338
209,18,IN,3,FUEL COMB. OTHER,CO,1996,138.97499
210,18,IN,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,0.00216
211,18,IN,5,METALS PROCESSING,CO,1996,175.40743
212,18,IN,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,18.1006
213,18,IN,7,OTHER INDUSTRIAL PROCESSES,CO,1996,16.80225
214,18,IN,8,SOLVENT UTILIZATION,CO,1996,0.06078
215,18,IN,9,STORAGE & TRANSPORT,CO,1996,0.05988
216,18,IN,10,WASTE DISPOSAL & RECYCLING,CO,1996,56.52971
217,18,IN,11,HIGHWAY VEHICLES,CO,1996,2281.76252
218,18,IN,12,OFF-HIGHWAY,CO,1996,546.57456
219,18,IN,14,MISCELLANEOUS,CO,1996,12.08331
220,18,IN,15,WILDFIRES,CO,1996,NA
221,18,IN,16,PRESCRIBED FIRES,CO,1996,NA
222,19,IA,1,FUEL COMB. ELEC. UTIL.,CO,1996,5.18473
223,19,IA,2,FUEL COMB. INDUSTRIAL,CO,1996,5.8408
224,19,IA,3,FUEL COMB. OTHER,CO,1996,33.12909
225,19,IA,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,0.1477
226,19,IA,5,METALS PROCESSING,CO,1996,2.1324
227,19,IA,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,NA
228,19,IA,7,OTHER INDUSTRIAL PROCESSES,CO,1996,0.21739
229,19,IA,8,SOLVENT UTILIZATION,CO,1996,NA
230,19,IA,9,STORAGE & TRANSPORT,CO,1996,NA
231,19,IA,10,WASTE DISPOSAL & RECYCLING,CO,1996,18.67806
232,19,IA,11,HIGHWAY VEHICLES,CO,1996,1037.34539
