"","State Code","State","Tier 1 Code","pollutant","year","Sum"
"198","09","CT","10","WASTE DISPOSAL & RECYCLING_SO2",1996,"1.33327"
"199","09","CT","11","HIGHWAY VEHICLES_CO",1996,"809.34899"
"200","09","CT","11","HIGHWAY VEHICLES_SO2",1996,"3.29473"
"201","09","CT","12","OFF-HIGHWAY_CO",1996,"297.20903"
"202","09","CT","12","OFF-HIGHWAY_SO2",1996,"2.36545"
"203","09","CT","14","MISCELLANEOUS_CO",1996,"0.76712"
"204","09","CT","14","MISCELLANEOUS_SO2",1996,"0.00032"
"205","09","CT","15","WILDFIRES_CO",1996,NA
"206","09","CT","15","WILDFIRES_SO2",1996,NA
"207","09","CT","16","PRESCRIBED FIRES_CO",1996,NA
"208","09","CT","16","PRESCRIBED FIRES_SO2",1996,NA
"209","10","DE","01","FUEL COMB. ELEC. UTIL._CO",1996,"0.97402"
"210","10","DE","01","FUEL COMB. ELEC. UTIL._SO2",1996,"42.16015"
"211","10","DE","02","FUEL COMB. INDUSTRIAL_CO",1996,"4.34487"
"212","10","DE","02","FUEL COMB. INDUSTRIAL_SO2",1996,"44.58153"
"213","10","DE","03","FUEL COMB. OTHER_CO",1996,"9.72528"
"214","10","DE","03","FUEL COMB. OTHER_SO2",1996,"4.09441"
"215","10","DE","04","CHEMICAL & ALLIED PRODUCT MFG_CO",1996,"10.91828"
"216","10","DE","04","CHEMICAL & ALLIED PRODUCT MFG_SO2",1996,"2.8178"
"217","10","DE","05","METALS PROCESSING_CO",1996,NA
"218","10","DE","05","METALS PROCESSING_SO2",1996,NA
"219","10","DE","06","PETROLEUM & RELATED INDUSTRIES_CO",1996,"0.02959"
"220","10","DE","06","PETROLEUM & RELATED INDUSTRIES_SO2",1996,"0.54592"
"221","10","DE","07","OTHER INDUSTRIAL PROCESSES_CO",1996,"0.00037"
"222","10","DE","07","OTHER INDUSTRIAL PROCESSES_SO2",1996,"0.02609"
"223","10","DE","08","SOLVENT UTILIZATION_CO",1996,NA
"224","10","DE","08","SOLVENT UTILIZATION_SO2",1996,"0.00123"
"225","10","DE","09","STORAGE & TRANSPORT_CO",1996,NA
"226","10","DE","09","STORAGE & TRANSPORT_SO2",1996,"0.001"
"227","10","DE","10","WASTE DISPOSAL & RECYCLING_CO",1996,"8.73935"
"228","10","DE","10","WASTE DISPOSAL & RECYCLING_SO2",1996,"0.08076"
"229","10","DE","11","HIGHWAY VEHICLES_CO",1996,"215.35512"
"230","10","DE","11","HIGHWAY VEHICLES_SO2",1996,"0.93036"
"231","10","DE","12","OFF-HIGHWAY_CO",1996,"80.26613"
"232","10","DE","12","OFF-HIGHWAY_SO2",1996,"1.51376"
"233","10","DE","14","MISCELLANEOUS_CO",1996,"0.63349"
"234","10","DE","14","MISCELLANEOUS_SO2",1996,"0.00016"
"235","10","DE","15","WILDFIRES_CO",1996,NA
"236","10","DE","15","WILDFIRES_SO2",1996,NA
"237","10","DE","16","PRESCRIBED FIRES_CO",1996,NA
"238","10","DE","16","PRESCRIBED FIRES_SO2",1996,NA
"239","11","DC","01","FUEL COMB. ELEC. UTIL._CO",1996,"0.04627"
"240","11","DC","01","FUEL COMB. ELEC. UTIL._SO2",1996,"0.89359"
"241","11","DC","02","FUEL COMB. INDUSTRIAL_CO",1996,"0.00629"
"242","11","DC","02","FUEL COMB. INDUSTRIAL_SO2",1996,"0.01471"
"243","11","DC","03","FUEL COMB. OTHER_CO",1996,"1.85015"
"244","11","DC","03","FUEL COMB. OTHER_SO2",1996,"6.82959"
"245","11","DC","06","PETROLEUM & RELATED INDUSTRIES_CO",1996,NA
"246","11","DC","06","PETROLEUM & RELATED INDUSTRIES_SO2",1996,NA
"247","11","DC","07","OTHER INDUSTRIAL PROCESSES_CO",1996,NA
"248","11","DC","07","OTHER INDUSTRIAL PROCESSES_SO2",1996,NA
"249","11","DC","08","SOLVENT UTILIZATION_CO",1996,NA
"250","11","DC","08","SOLVENT UTILIZATION_SO2",1996,NA
"251","11","DC","09","STORAGE & TRANSPORT_CO",1996,NA
"252","11","DC","09","STORAGE & TRANSPORT_SO2",1996,NA
"253","11","DC","10","WASTE DISPOSAL & RECYCLING_CO",1996,"3.382"
"254","11","DC","10","WASTE DISPOSAL & RECYCLING_SO2",1996,"0.1662"
"255","11","DC","11","HIGHWAY VEHICLES_CO",1996,"93.03482"
"256","11","DC","11","HIGHWAY VEHICLES_SO2",1996,"0.36173"
"257","11","DC","12","OFF-HIGHWAY_CO",1996,"15.54005"
"258","11","DC","12","OFF-HIGHWAY_SO2",1996,"0.28073"
"259","11","DC","14","MISCELLANEOUS_CO",1996,"0.04055"
"260","11","DC","14","MISCELLANEOUS_SO2",1996,NA
"261","11","DC","15","WILDFIRES_CO",1996,NA
"262","11","DC","15","WILDFIRES_SO2",1996,NA
"263","11","DC","16","PRESCRIBED FIRES_CO",1996,NA
"264","11","DC","16","PRESCRIBED FIRES_SO2",1996,NA
"265","12","FL","01","FUEL COMB. ELEC. UTIL._CO",1996,"20.94324"
"266","12","FL","01","FUEL COMB. ELEC. UTIL._SO2",1996,"649.84554"
"267","12","FL","02","FUEL COMB. INDUSTRIAL_CO",1996,"35.39113"
"268","12","FL","02","FUEL COMB. INDUSTRIAL_SO2",1996,"53.63522"
"269","12","FL","03","FUEL COMB. OTHER_CO",1996,"76.09794"
"270","12","FL","03","FUEL COMB. OTHER_SO2",1996,"22.49833"
"271","12","FL","04","CHEMICAL & ALLIED PRODUCT MFG_CO",1996,"0.576"
"272","12","FL","04","CHEMICAL & ALLIED PRODUCT MFG_SO2",1996,"35.39126"
"273","12","FL","05","METALS PROCESSING_CO",1996,"0.97196"
"274","12","FL","05","METALS PROCESSING_SO2",1996,"0.02925"
"275","12","FL","06","PETROLEUM & RELATED INDUSTRIES_CO",1996,"0.29401"
"276","12","FL","06","PETROLEUM & RELATED INDUSTRIES_SO2",1996,"0.65673"
"277","12","FL","07","OTHER INDUSTRIAL PROCESSES_CO",1996,"16.32815"
"278","12","FL","07","OTHER INDUSTRIAL PROCESSES_SO2",1996,"13.89356"
"279","12","FL","08","SOLVENT UTILIZATION_CO",1996,"0.00129"
"280","12","FL","08","SOLVENT UTILIZATION_SO2",1996,"0.00002"
"281","12","FL","09","STORAGE & TRANSPORT_CO",1996,"0.02409"
"282","12","FL","09","STORAGE & TRANSPORT_SO2",1996,"0.05086"
"283","12","FL","10","WASTE DISPOSAL & RECYCLING_CO",1996,"164.17793"
"284","12","FL","10","WASTE DISPOSAL & RECYCLING_SO2",1996,"0.62237"
"285","12","FL","11","HIGHWAY VEHICLES_CO",1996,"3823.98838"
"286","12","FL","11","HIGHWAY VEHICLES_SO2",1996,"15.27266"
"287","12","FL","12","OFF-HIGHWAY_CO",1996,"1713.20677"
"288","12","FL","12","OFF-HIGHWAY_SO2",1996,"15.09283"
"289","12","FL","14","MISCELLANEOUS_CO",1996,"196.6526"
"290","12","FL","14","MISCELLANEOUS_SO2",1996,"0.12193"
"291","12","FL","15","WILDFIRES_CO",1996,NA
"292","12","FL","15","WILDFIRES_SO2",1996,NA
"293","12","FL","16","PRESCRIBED FIRES_CO",1996,NA
"294","12","FL","16","PRESCRIBED FIRES_SO2",1996,NA
"295","13","GA","01","FUEL COMB. ELEC. UTIL._CO",1996,"7.36811"
"296","13","GA","01","FUEL COMB. ELEC. UTIL._SO2",1996,"474.82484"
"297","13","GA","02","FUEL COMB. INDUSTRIAL_CO",1996,"28.58178"
"298","13","GA","02","FUEL COMB. INDUSTRIAL_SO2",1996,"54.76955"
"299","13","GA","03","FUEL COMB. OTHER_CO",1996,"71.6951"
"300","13","GA","03","FUEL COMB. OTHER_SO2",1996,"4.11015"
"301","13","GA","04","CHEMICAL & ALLIED PRODUCT MFG_CO",1996,"0.001"
"302","13","GA","04","CHEMICAL & ALLIED PRODUCT MFG_SO2",1996,"1.251"
"303","13","GA","05","METALS PROCESSING_CO",1996,"2.50254"
"304","13","GA","05","METALS PROCESSING_SO2",1996,"1.63097"
"305","13","GA","06","PETROLEUM & RELATED INDUSTRIES_CO",1996,"0.76422"
"306","13","GA","06","PETROLEUM & RELATED INDUSTRIES_SO2",1996,"0.20663"
"307","13","GA","07","OTHER INDUSTRIAL PROCESSES_CO",1996,"124.00094"
"308","13","GA","07","OTHER INDUSTRIAL PROCESSES_SO2",1996,"21.34183"
"309","13","GA","08","SOLVENT UTILIZATION_CO",1996,"0.00494"
"310","13","GA","08","SOLVENT UTILIZATION_SO2",1996,"0.034"
"311","13","GA","09","STORAGE & TRANSPORT_CO",1996,"0.01266"
"312","13","GA","09","STORAGE & TRANSPORT_SO2",1996,NA
"313","13","GA","10","WASTE DISPOSAL & RECYCLING_CO",1996,"179.48449"
"314","13","GA","10","WASTE DISPOSAL & RECYCLING_SO2",1996,"0.26609"
"315","13","GA","11","HIGHWAY VEHICLES_CO",1996,"2830.11328"
"316","13","GA","11","HIGHWAY VEHICLES_SO2",1996,"10.90749"
"317","13","GA","12","OFF-HIGHWAY_CO",1996,"699.59332"
